order_id,customer_id,product_id,order_date,quantity,price_per_unit,status
1,181,502,2024-01-14,3,400,Completed
2,189,508,2025-04-14,3,200,Completed
3,165,502,2024-06-06,3,150,Completed
4,134,508,2024-03-30,2,200,Completed
5,131,509,2024-02-25,2,1500,Completed
6,132,507,2024-01-24,4,150,Completed
7,166,509,2024-01-17,5,400,Completed
8,190,504,2025-01-18,5,200,Completed
9,156,507,2025-03-07,1,200,Completed
10,168,507,2024-05-18,3,400,Completed
11,157,508,2024-06-28,2,300,Completed
12,182,505,2024-10-17,1,400,Completed
13,166,503,2025-05-02,2,400,Cancelled
14,196,507,2024-12-25,1,1000,Completed
15,182,510,2024-03-15,3,700,Completed
16,172,504,2024-06-04,1,500,Completed
17,134,505,2025-03-11,2,500,Completed
18,110,503,2024-06-02,3,200,Completed
19,192,504,2025-03-08,2,1500,Completed
20,159,506,2024-02-06,4,150,Completed
21,115,503,2024-03-09,3,300,Completed
22,197,501,2024-01-29,3,300,Cancelled
23,109,506,2024-01-17,4,200,Cancelled
24,115,504,2024-11-13,4,1000,Cancelled
25,140,508,2024-06-27,3,1500,Completed
26,164,509,2025-03-15,3,150,Completed
27,189,508,2024-11-10,5,300,Completed
28,169,502,2024-10-30,5,200,Completed
29,154,506,2024-03-31,4,300,Completed
30,174,508,2025-01-10,5,150,Cancelled
31,104,509,2024-11-07,5,400,Completed
32,125,502,2025-02-16,5,400,Cancelled
33,137,505,2025-02-04,1,700,Completed
34,106,503,2024-03-16,3,150,Completed
35,120,501,2024-10-27,3,1500,Completed
36,154,506,2024-10-12,3,300,Completed
37,176,502,2025-04-02,2,150,Cancelled
38,117,510,2025-02-23,4,1000,Completed
39,185,502,2024-06-12,4,150,Cancelled
40,156,504,2024-10-12,4,300,Completed
41,173,501,2024-08-14,3,300,Completed
42,153,506,2025-03-01,5,700,Completed
43,163,502,2025-04-28,5,1000,Completed
44,152,507,2025-03-07,2,700,Cancelled
45,112,507,2025-01-09,5,500,Completed
46,157,510,2024-08-21,5,200,Completed
47,142,502,2024-09-26,2,1500,Completed
48,182,506,2025-03-26,4,700,Completed
49,158,507,2024-06-12,5,500,Completed
50,195,503,2025-03-28,5,300,Completed
51,152,507,2025-03-28,4,300,Completed
52,185,503,2024-07-20,2,1000,Completed
53,109,501,2024-05-12,5,400,Cancelled
54,119,507,2024-02-25,4,1000,Completed
55,152,507,2024-03-13,2,1500,Completed
56,149,508,2024-02-14,4,400,Completed
57,146,501,2024-03-01,2,150,Completed
58,174,501,2024-09-30,4,1000,Completed
59,174,504,2025-01-05,3,500,Completed
60,162,504,2025-03-10,2,300,Completed
61,189,503,2024-05-06,1,300,Completed
62,114,503,2024-08-05,5,150,Completed
63,125,505,2025-01-28,3,150,Completed
64,180,502,2024-09-27,3,300,Completed
65,157,507,2024-08-29,3,1500,Completed
66,115,503,2024-10-01,4,1000,Completed
67,132,507,2024-11-30,4,1500,Completed
68,147,502,2024-05-15,5,1000,Cancelled
69,188,508,2025-05-13,3,400,Completed
70,166,506,2024-09-13,3,400,Completed
71,196,507,2025-04-04,4,500,Cancelled
72,196,501,2024-05-08,1,400,Completed
73,144,506,2024-10-24,5,500,Cancelled
74,102,505,2025-02-27,4,500,Completed
75,181,505,2024-12-19,3,500,Cancelled
76,143,503,2025-01-09,1,200,Completed
77,170,502,2025-02-12,1,500,Completed
78,194,510,2024-08-20,3,400,Cancelled
79,101,509,2024-05-30,3,150,Completed
80,112,507,2024-05-12,5,1500,Completed
81,166,502,2025-03-23,4,300,Completed
82,131,503,2025-04-16,4,300,Completed
83,191,501,2024-07-24,2,1000,Completed
84,193,507,2024-07-14,4,1500,Completed
85,121,502,2024-10-26,2,150,Completed
86,151,503,2024-01-14,1,150,Cancelled
87,117,505,2024-01-20,4,700,Completed
88,120,507,2024-05-25,2,300,Completed
89,104,506,2024-11-25,3,150,Completed
90,167,501,2024-06-29,4,150,Completed
91,198,510,2024-08-06,3,1000,Cancelled
92,195,501,2024-04-12,4,400,Completed
93,151,505,2024-11-25,5,200,Completed
94,162,501,2025-02-13,3,300,Completed
95,117,509,2024-10-02,5,150,Completed
96,163,501,2025-03-08,4,1500,Completed
97,173,505,2025-03-13,2,1500,Completed
98,177,502,2024-06-06,4,300,Completed
99,123,505,2025-05-05,4,500,Completed
100,175,507,2025-02-19,3,400,Completed
101,117,506,2024-07-13,4,500,Completed
102,186,508,2024-04-21,3,700,Completed
103,161,501,2024-02-12,4,200,Completed
104,114,506,2024-04-15,4,700,Completed
105,156,509,2024-08-27,5,150,Completed
106,178,508,2024-12-07,5,200,Cancelled
107,108,509,2024-01-09,1,1000,Completed
108,185,509,2024-09-06,2,700,Completed
109,120,503,2024-12-29,2,400,Completed
110,141,502,2024-10-19,1,500,Completed
111,132,504,2025-04-06,1,400,Completed
112,185,505,2024-04-06,1,1000,Completed
113,166,501,2024-03-24,5,500,Completed
114,162,508,2024-10-29,3,500,Completed
115,122,506,2024-05-23,1,500,Completed
116,144,506,2024-02-08,1,700,Completed
117,107,502,2024-09-30,2,200,Completed
118,111,510,2024-10-11,5,150,Completed
119,142,506,2024-04-20,4,1000,Completed
120,109,510,2025-01-16,1,150,Completed
121,138,504,2024-09-16,4,500,Completed
122,188,505,2024-09-17,2,1000,Completed
123,103,501,2024-05-06,1,1500,Cancelled
124,149,508,2024-02-20,3,400,Completed
125,194,510,2025-02-18,5,1500,Cancelled
126,149,502,2025-02-27,1,400,Completed
127,178,503,2024-11-06,5,1000,Cancelled
128,190,506,2024-01-03,1,700,Completed
129,121,501,2024-10-23,1,200,Cancelled
130,182,510,2024-11-16,3,200,Completed
